Pokemon,XL
太陽珊瑚,1
搖籃百合,0
海兔獸,0
瑪力露麗,1
嘎啦嘎啦,0
黑夜魔靈,0
護城龍,1
嘎啦嘎啦,0
彷徨夜靈,1
黑夜魔靈,0
七夕青鳥,0
Cradily,0
泥巴魚,0
鋼鎧鴉,0
死神板,0
胖可丁,0
哈克龍,0
黏美龍,0
彷徨夜靈,1
佛烈托斯,0
天蠍,0
土王,0
滴蛛霸,0
電肚蛙,0
帝王拿波,0
天蠍,0
棄世猴,0
念力土偶,0
咚咚鼠,0
拉普拉斯,0
護城龍,1
具甲武者,0
雷吉鐸拉戈,0
雙首暴龍,0
大舌頭,1
陸地水母,0
棄世猴,0
哈克龍,0
帝王拿波,0
佛烈托斯,0
胖嘟嘟,0
大鋼蛇,0
勾魂眼,1
雙彈瓦斯,0
騎拉帝納,0
鱗甲龍,0
花潔夫人,0
大尾立,0
惡食大王,0
杖尾鱗甲龍,0
拉普拉斯,0
水箭龜,0
蟲電寶,0
火爆猴,0
巨鍛匠,0
雙首暴龍,0
噗噗豬,0
勾魂眼,1
花岩怪,0
烏賊王,0
巨鉗螳螂,0
岩殿居蟹,0
火焰鳥,0
龍王蠍,0
土龍弟弟,0
噗噗豬,0
刺龍王,0
烏賊王,0
智揮猩,0
大舌舔,0
金屬怪,0
大劍鬼,0
泥偶巨人,0
三首惡龍,0
火爆猴,0
金魚王,0
烈箭鷹,0
龍王蠍,0
金屬怪,0
巨鉗螳螂,0
波克基斯,0
爆焰龜獸,0
雙彈瓦斯,0
蟲電寶,0
九尾,0
泥巴魚,0
沼王,0
皮可西,0
大力鱷,0
直衝熊,0
天蠍王,0
河馬獸,0
烈箭鷹,0
刺龍王,0
飄浮泡泡,0
克雷色利亞,0
沙河馬,1
七夕青鳥,0
九尾,0
小碎鑽,1
搖籃百合,0
大力鱷,0
沼王,0
掘地兔,1
鑰圈兒,0
美錄梅塔,0
大劍鬼,0
念力土偶,0
嘎啦嘎啦,0
流氓熊貓,0
白海獅,0
雙刃丸,0
恰雷姆,1
敗露球菇,0
快龍,0
暴鯉龍,0
冰雪巨龍,0
掘地兔,1
拉帝亞斯,0
嘎啦嘎啦,0
尼多后,0
九尾,0
海魔獅,0
毒藻龍,0
大鋼蛇,0
尼多后,0
穿山王,0
堅盾劍怪,1
沙河馬,1
黑暗鴉,1
狐大盜,0
怪力,0
雷吉斯奇魯,0
天蠍王,0
大奶罐,0
莫魯貝可,0
朽木妖,0
吞食獸,0
波克基古,0
大嘴雀,0
泥偶巨人,0
三首惡龍,0
豪力,0
穿山王,0
煤炭龜,0
大食花,0
怪力,0
電燈怪,0
嘟嘟利,0
帕奇利茲,1
雙刃丸,0
河馬獸,0
引夢貘人,0
九尾,0
凍脊龍,0
岩殿居蟹,0
暴鯉龍,0
海魔獅,0
大食花,0
敗露球菇,0
毛毛角羊,0
熔岩蝸牛,0
禿鷹娜,0
雷公,0
鯰魚王,0
飄浮泡泡,0
頓甲,0
基拉祈,0
巨沼怪,0
冰雪巨龍,0
雷吉洛克,0
巨沼怪,0
投羽梟,0
藏飽栗鼠,0
超壞星,0
老翁龍,0
甲賀忍蛙,0
巧鍛匠,1
可多拉,0
暴雪王,0
毽子棉,0
拉帝亞斯,0
結草貴婦,1
暴雪王,0
電飛鼠,0
鯰魚王,0
麻花犬,0
千針魚,0
千針魚,0
妙蛙花,0
隨風球,0
圈圈熊,0
黑暗鴉,1
毒刺水母,0
水箭龜,0
青銅鐘,0
飄浮泡泡,0
銃嘴大鳥,0
喇叭啄鳥,1
電龍,0
美麗花,0
引夢貘人,0
大狼犬,0
月亮伊布,0
噴火龍,0
Golisopod,0
晃晃斑,1
蜂女王,0
美麗花,0
大狼犬,0
頭巾混混,0
火箭雀,1
可多拉,0
千針魚,0
武道熊師,0
快龍,0
甲殼龍,0
帝牙海獅,0
可可多拉,1
走鯨,1
頓甲,0
帕路奇亞,0
南瓜精,1
暴飛龍,0
穿山王,0
妙蛙花,0
毛頭小鷹,1
大蔥鴨,0
雪妖女,0
南瓜怪人,0
冰岩怪,0
浩大鯨,0
穿山王,0
火箭雀,1
南瓜怪人,0
毽子棉,0
蘭螳花,0
呆呆王,0
卡咪龜,1
閃電鳥,0
電龍,0
飄香豚,0
土台龜,0
可可多拉,1
雷公,0
骨紋巨聲鱷,0
隨風球,0
萬針魚,0
甲殼龍,0
圈圈熊,0
吼吼鯨,1
帝牙海獅,0
鐵掌力士,0
雷丘,0
由克希,0
